SiteID,start_year,end_year,n_obs,Protocol,slope_richness,p_richness,slope_temp,p_temp,slope_flow,p_flow,Latitude,Longitude,seg_id_nat,elevation,HFP_mean,slope_salinity,p_salinity,slope_organic,p_organic,mean_salinity,mean_organic,mean_temp,mean_flow,geometry,HYBAS_ID,slope_LCBD,p_LCBD,slope_Fdis,p_Fdis,zone
S8356,1989,2018,28,Electrofishing_backpack,-0.296529864,0.002949421,0.022410454,0.016816372,-0.245703204,0.891249598,67.50994,21.04824,20030298,375,1.3186836,0.044876099,0.748105391,-0.0043058,0.300771759,166.1444702,0.152964011,3.573856284,98.48597044,POINT (21.04824 67.50994),2040030110,-4.92E-06,0.000405594,0.034346136,0.436963051,Cold
S8033,1996,2018,21,Electrofishing_backpack,0,0.775366116,0.021628248,0.204904424,0.824186455,0.422520887,66.39968,21.25441,20048116,224,1.3664399,0.216269753,0.369209265,-0.051436615,0.153820822,97.43305969,0.271631062,4.727122845,78.63134688,POINT (21.25441 66.39968),2040030110,-1.25E-06,0.381187305,-0.06562894,0.308179547,Cold
S8143,1989,2018,24,Electrofishing_backpack,-0.271073271,0.011668141,0.023657429,0.011295346,-0.198436492,0.795684908,66.62494,22.40508,20043488,92,1.3664399,0.158730247,0.284411468,-0.006772313,0.049702741,163.5811615,0.065012567,4.787301737,69.15774726,POINT (22.40508 66.62494),2040030110,-6.11E-06,0.00046978,0.028110633,0.097423819,Cold
S8320,2003,2014,6,Electrofishing_backpack,0.509647191,0.951986178,0.004095842,0.945329871,0.668988433,0.304965193,67.36154,21.49536,20033226,325,1.3664399,7.122141157,0.023642219,-0.020652317,0.033524165,161.969223,0.022152573,4.357462244,30.40604578,POINT (21.49536 67.36154),2040030110,1.05E-05,0.707114231,-0.00449546,0.734095182,Cold
S5804,1992,2018,17,Electrofishing_backpack,0,0.00803871,0.014295616,0.359004297,0.123684187,0.191544812,60.49695,13.70757,20157049,419,1.3964773,-0.054801432,0.770396161,-0.011252456,0.113110646,130.0122833,0.034662671,7.037550722,31.23244466,POINT (13.70757 60.49695),2040033320,1.88E-07,0.363585991,,,Cold
S8406,2005,2017,4,Electrofishing_backpack,0,0.968265959,-0.011124969,0.669334014,0.239408426,0.689018607,64.8288,26.79376,20074649,110,1.4367015,-0.038414849,0.42771051,-0.139597674,0.127203688,153.9546051,0.292270243,5.772825037,42.93330107,POINT (26.79376 64.8288),2040029940,-3.80E-06,0.734095182,,,Cold
S7612,2004,2017,5,Electrofishing_backpack,0,0.500415177,-0.001421862,0.912814027,-0.581037173,0.87123754,65.40652,17.89785,20063798,324,1.4887736,0.036946615,0.584070367,0.003311371,0.584070367,157.0045319,0.023049703,4.771917831,59.18404946,POINT (17.89785 65.40652),2040030110,-1.58E-06,0.806495941,,,Cold
S8028,2002,2018,14,Electrofishing_backpack,0,0.851425725,-0.004015903,0.836819705,1.353896052,0.394343949,66.34767,21.35911,20048116,182,1.526984,-0.114219884,0.483755786,-0.073984496,0.003448144,78.78644562,0.077852465,4.819222116,79.46844308,POINT (21.35911 66.34767),2040030110,1.97E-06,0.511220345,0.009807764,1,Cold
S8478,1990,2018,25,Electrofishing_backpack,0,0.712857241,0.03067375,0.004104933,-0.198676803,0.710582209,68.12712,21.61758,20022429,376,1.526984,-0.005031199,0.586452625,-0.003162519,0.487651927,163.1702271,0.137501091,2.772189721,62.74898347,POINT (21.61758 68.12712),2040030100,-5.08E-06,0.005448605,-0.012121731,0.826152465,Cold
S8081,1996,2018,18,Electrofishing_backpack,0,0.308448593,0.022604397,0.139144175,0.258179246,0.492999548,66.56617,22.46747,20044590,106,1.6499227,0.256447532,0.26732702,-0.0109468,0.153820822,163.1190948,0.057987381,4.928871751,60.6773922,POINT (22.46747 66.56617),2040030110,-1.65E-06,0.255818049,-0.020490142,0.734095182,Cold
S8346,1989,2018,22,Electrofishing_backpack,0,0.019602976,0.019241838,0.045695472,0.061091978,0.37056646,67.42914,21.84299,20031234,329,1.6814853,0.036942331,0.317747348,-0.001864274,0.47544905,161.2297211,0.043539565,3.782925428,139.7412546,POINT (21.84299 67.42914),2040030110,-1.52E-06,0.535024451,-0.001032518,0.725899865,Cold
S12296,2002,2012,10,Electrofishing_backpack,0,0.874783817,-0.02050971,0.533416513,4.572128287,0.061232476,64.96046,27.23044,20071728,137,1.7575073,-1.167022705,0.086768173,-0.047453976,0.012731364,151.6868286,0.064208336,5.42197156,151.2791914,POINT (27.23044 64.96046),2040029940,-3.67E-06,0.107404636,,,Cold
S6506,1983,2018,33,Electrofishing_backpack,0,0.287645658,0.026724049,0.000340589,-0.066299405,0.393334099,62.00399,13.49707,20128748,630,1.8394666,0.018598003,0.90243332,-0.026124569,0.010042892,157.8209381,0.121338472,4.607936738,34.61764455,POINT (13.49707 62.00399),2040031070,-4.03E-06,1.50E-07,,,Cold
S6872,1989,2018,28,Electrofishing_backpack,0,0.042751513,0.026008749,0.01249863,-0.157614097,0.005696733,63.84615,19.32557,20099169,154,1.8524976,0.457101004,0.238992788,0.012095966,0.748105391,150.2617188,0.406913429,5.785027968,29.37522804,POINT (19.32557 63.84615),2040030110,-1.46E-06,0.010815906,0,1,Cold
S6904,1989,1999,7,Electrofishing_backpack,0,0.167090178,-0.034546255,0.436274929,-0.191078599,0.407011986,63.94293,18.81713,20097472,263,1.8524976,-0.050491333,0.640428787,-0.002408725,1,145.6200104,0.020241577,5.042394994,34.78813333,POINT (18.81713 63.94293),2040030110,-4.02E-06,0.071505416,,,Cold
S6905,2001,2018,18,Electrofishing_backpack,0,0.540344677,0.008913408,0.649445669,-0.321480064,0.002954184,63.94537,18.82515,20097472,235,1.8524976,0.114949544,0.404670244,-0.00174198,0.879572789,145.595993,0.013801698,5.477005364,31.58757973,POINT (18.82515 63.94537),2040030110,6.67E-08,1,0.131287454,0.308179547,Cold
S8354,1989,2018,28,Electrofishing_backpack,-0.38437328,3.54E-05,0.022410454,0.016816372,-0.245703204,0.891249598,67.49525,21.06284,20030298,363,1.8524976,0.013876779,0.748105391,-0.007731719,0.225057145,163.3800964,0.284212619,3.573856284,98.48597044,POINT (21.06284 67.49525),2040030110,-6.93E-06,6.06E-05,0,0.735392477,Cold
S8476,1990,2018,24,Electrofishing_backpack,-0.254089361,0.146586116,0.03067375,0.004104933,-0.198676803,0.710582209,68.12228,21.6376,20022429,370,1.8524976,-0.005031199,0.586452625,-0.003162519,0.487651927,163.1702271,0.137501091,2.772189721,62.74898347,POINT (21.6376 68.12228),2040030100,-5.64E-06,0.0006783,0.000403078,0.892049789,Cold
S8477,1990,2018,23,Electrofishing_backpack,-0.246589748,0.058778182,0.03067375,0.004104933,-0.198676803,0.710582209,68.12248,21.64198,20022429,370,1.8524976,-0.005031199,0.586452625,-0.003162519,0.487651927,163.1702271,0.137501091,2.772189721,62.74898347,POINT (21.64198 68.12248),2040030100,-6.57E-06,9.28E-05,-0.022959867,0.252156493,Cold
S12312,2002,2014,11,Electrofishing_backpack,0,0.785163145,0.005368971,0.951352131,1.611362315,0.174967301,65.04035,26.41657,20070598,84,1.9367015,0.42855835,0.160555891,-0.091660422,0.160555891,170.1949768,0.486528218,5.821755603,122.5977584,POINT (26.41657 65.04035),2040029940,-4.35E-06,0.161124949,-0.027411798,1,Cold
S7313,1987,2018,26,Electrofishing_backpack,0,0.002254125,0.017448565,0.088619061,-0.382571664,0.036677229,64.95128,15.58063,20072785,708,2.129548,0.008657793,0.00070087,-0.001744458,0.006765991,156.8406982,0.022316778,4.923727755,41.89221655,POINT (15.58063 64.95128),2040031060,-5.71E-07,0.13372993,,,Cold
S8329,1994,2018,22,Electrofishing_backpack,0,0.545273135,0.02573042,0.052566837,0.721823736,0.098010665,67.36925,21.9365,20032300,293,2.129548,0.138452148,0.042165578,-0.002167282,0.559304947,162.0440979,0.139043689,3.905300791,167.4034967,POINT (21.9365 67.36925),2040030110,-1.07E-06,0.142568659,0.060532958,0.101755136,Cold
S12182,2000,2016,9,Electrofishing_backpack,0.154161036,0.25742692,0.021159226,0.076513654,0.909222374,0.410633141,61.6021,26.6616,20136998,102,2.2500577,0.085957845,0.43382684,-0.018938569,0.043545586,140.437149,0.415751159,6.636079391,49.0019649,POINT (26.6616 61.6021),2040028310,-3.47E-07,0.916965237,-0.027958241,1,Cold
S12188,2000,2013,4,Electrofishing_backpack,0,0.527503505,0.01335742,0.443421403,1.026477703,0.541498999,61.60235,26.66037,20136998,102,2.2500577,0.089385986,0.443421403,-0.032519514,0.062698116,140.4264221,0.413830966,6.588008404,48.30272112,POINT (26.66037 61.60235),2040028310,-1.82E-06,0.734095182,,,Cold
S1547,2005,2017,6,Electrofishing_wholesection,0,0.477273304,0.0206648,0.760332308,0.085689923,0.458028163,47.79172,4.74235238,20431635,353,2.25006,12.81856476,0.24638736,0.496568298,0.951352131,285.6238403,18.63129997,13.26355535,4.589848278,POINT (4.74235238 47.79172),2040022150,1.04E-06,0.452370361,-0.054336266,1,Warm
S2547,1984,2017,5,Electrofishing_backpack,0,0.759699101,0.022608203,0.00832121,-0.2718144,4.46E-05,61.68794,25.13789,20135068,143,2.2534196,0.223542244,0.003665604,0.021637647,0.028234143,127.2872696,0.58580786,6.507219841,18.42015366,POINT (25.13789 61.68794),2040028660,2.03E-06,0.806495941,0,1,Cold
S5871,1994,2012,11,Electrofishing_backpack,0,0.771472907,0.007337771,0.944216628,0.2761053,0.014187508,60.53687,12.74463,20157247,400,2.2575073,-5.896240234,0.107542829,-0.021781206,0.042441676,137.452652,0.047040008,6.980454636,22.70448626,POINT (12.74463 60.53687),2040033320,-1.24E-06,0.119470987,0.074445515,0.613354356,Cold
S11964,2007,2017,7,Electrofishing_backpack,0,0.552315275,0.012010514,0.436274929,0.64345119,0.812180257,61.56188,26.70944,20138410,93,2.2586577,0.623006185,0.06170669,0.054238176,0.086768173,140.1487579,0.32519269,6.563739733,45.11858956,POINT (26.70944 61.56188),2040028310,3.86E-07,1,,,Cold
S2612,1984,2017,32,Electrofishing_backpack,0,0.322609071,0.022608203,0.00832121,-0.2718144,4.46E-05,61.71629,25.13336,20135068,112,2.2586577,0.223542244,0.003665604,0.021637647,0.028234143,127.2872696,0.58580786,6.507219841,18.42015366,POINT (25.13336 61.71629),2040028660,-1.11E-05,4.63E-08,0,1,Cold
S2680,1984,2017,32,Electrofishing_backpack,0,0.029470145,0.022608203,0.00832121,-0.2718144,4.46E-05,61.71621,25.13356,20135068,112,2.2586577,0.223542244,0.003665604,0.021637647,0.028234143,127.2872696,0.58580786,6.507219841,18.42015366,POINT (25.13356 61.71621),2040028660,-1.01E-05,3.25E-07,,,Cold
S2261,1984,1996,13,Electrofishing_backpack,0,0.788797828,-0.006394285,0.854777098,-0.261893649,0.21420013,61.67269,25.15783,20135068,155,2.2592952,0.338934326,0.24638736,0.02256217,0.669334014,126.8500061,0.541028678,6.230103362,21.64810712,POINT (25.15783 61.67269),2040028660,-3.35E-05,0.000506101,,,Cold
S11949,2002,2016,5,Electrofishing_backpack,0,0.829891514,0.03349104,0.092459595,1.164841477,0.205805018,61.25318,27.25505,20143474,85,2.2682645,0.031677246,1,-0.019836059,0.137645846,140.2199402,0.414202005,6.822851524,58.76982028,POINT (27.25505 61.25318),2040028310,4.83E-06,0.806495941,,,Cold
S4932,1994,2013,11,Electrofishing_backpack,0,0.57882568,0.002250688,0.871131492,0,0.91289957,59.57863,11.80449,20170964,172,2.2752674,-0.866113495,0.314524869,-0.328283842,0.162984413,146.1408844,1.908733606,7.89235033,0.200310539,POINT (11.80449 59.57863),2040033320,-3.89E-06,0.119470987,-0.044090957,0.314062579,Cold
S7669,1999,2018,5,Electrofishing_backpack,0,0.668341325,0.015353865,0.417304166,0.161562959,0.875515917,65.60751,17.57985,20060155,337,2.315381,0.038911477,0.029722635,0.003359023,0.064411013,158.134903,0.024945758,4.31921043,120.2230567,POINT (17.57985 65.60751),2040030110,-2.01E-07,1,,,Cold
S5024,1991,2013,12,Electrofishing_backpack,0.221987044,0.165204902,0.00405322,0.634510293,0,0.685636027,59.6455,11.86097,20170964,141,2.3186836,0.591448103,0.42817779,-0.392168236,0.034614763,148.5382385,2.427412987,7.876558053,0.174183077,POINT (11.86097 59.6455),2040033320,-6.18E-07,0.837011475,0.034173661,0.734095182,Cold
S507,1986,2016,6,Electrofishing_partialsection,0,0.977702818,0.015518435,0.08298295,0.044813142,0.107739145,44.37502,-0.673631527,20518035,60,2.3186836,5.787841797,0.035069439,0.007337782,0.972882865,184.8461456,26.62119484,15.14557832,9.288633854,POINT (-0.673631527 44.37502),2040020320,6.32E-08,1,0,0.772829993,Warm
S575,2005,2017,7,Electrofishing_partialsection,0,0.448163926,0.038639033,0.200128118,-0.124618438,0.417862584,44.08092,-0.244856675,20522908,99,2.3186836,21.27096558,0.200128118,11.45887841,0.099508732,206.997467,53.41026306,14.59807124,7.754028219,POINT (-0.244856675 44.08092),2040020320,-5.77E-07,0.763890593,0.003153103,1,Warm
S6293,1994,2017,15,Electrofishing_backpack,-0.239282408,0.064323018,0.025390548,0.086988149,0.05122806,0.890607018,61.39666,14.14114,20141114,470,2.3186836,0.242561849,0.143341612,0.004095479,0.673262363,142.8653717,0.03697123,5.389967821,10.84674753,POINT (14.14114 61.39666),2040031490,-2.94E-06,0.001539257,,,Cold
S6865,1991,2018,18,Electrofishing_backpack,0,0.076751352,0.0377312,0.001682073,-0.109904797,0.03240609,63.81665,19.37474,20099169,160,2.3186836,0.342911471,0.514423659,0.012291478,0.890006774,150.9190369,0.549382806,5.766747907,29.09029527,POINT (19.37474 63.81665),2040030110,-4.95E-07,0.225479297,,,Cold
S6909,1990,2018,29,Electrofishing_backpack,0,0.364390161,0.02760686,0.006529792,-0.228919786,0.000285152,63.94888,18.83307,20097472,232,2.3394666,0.058773891,0.170893484,-0.002184682,0.487651927,145.6049957,0.016181095,5.311720481,32.94853178,POINT (18.83307 63.94888),2040030110,-4.94E-06,0.0015238,0.01290353,0.429777548,Cold
S2958,2007,2017,10,Electrofishing_partialsection,0,0.930928767,-0.00398631,1,-0.107568294,0.953705228,42.22165,9.265821245,20564914,324,2.3664398,128.3701172,0.755496875,1.71105957,0.755496875,131.2604523,7.991018772,14.62280574,6.734480852,POINT (9.265821245 42.22165),2040047500,1.81E-06,0.020044669,-0.03894665,0.180147456,Warm
S6862,1989,2018,29,Electrofishing_backpack,0,0.000777432,0.026008749,0.01249863,-0.157614097,0.005696733,63.81377,19.3642,20099169,130,2.4367015,0.392858887,0.317747348,0.016360807,0.721226099,150.7678223,0.539094925,5.785027968,29.37522804,POINT (19.3642 63.81377),2040030110,-1.29E-06,0.001251154,,,Cold
S4422,1986,2013,13,Electrofishing_backpack,0,0.831666589,0.00776622,0.678224693,0.085563075,0.053861999,59.26015,12.35333,20176807,156,2.526984,0.221876221,0.109536908,-0.012162974,0.736975815,140.3805847,0.296190321,8.24775056,3.03235911,POINT (12.35333 59.26015),2040033320,-3.97E-06,0.012371581,0.107560293,0.308179547,Intermediate
S6569,2000,2014,11,Electrofishing_backpack,0,0.249271421,0.012103508,0.692180773,-0.509250246,0.104101146,62.19593,15.98176,20126809,354,2.526984,0.782836914,0.010072435,0.074830651,0.029448104,146.2180481,0.096614361,5.495269201,38.25930238,POINT (15.98176 62.19593),2040031070,-2.94E-06,0.275757848,0.070870672,0.758547063,Cold
S10705,2002,2013,10,Electrofishing_backpack,0,0.598040299,-0.001463148,0.945329871,2.288001613,0.150518538,64.95395,27.22531,20072475,134,2.629548,-0.710929871,0.192616274,-0.037932264,0.011174811,151.6542511,0.062827379,5.404569544,157.9544468,POINT (27.22531 64.95395),2040029940,-1.48E-06,0.591505037,0.007334258,1,Cold
S6879,1990,2018,24,Electrofishing_backpack,0,0.068894025,0.02760686,0.006529792,-0.228919786,0.000285152,63.87545,18.80277,20097472,236,2.629548,0.196195162,0.068830306,-0.016266945,0.208829636,146.6177673,0.156779811,5.311720481,32.94853178,POINT (18.80277 63.87545),2040030110,-6.83E-07,0.286157321,,,Cold
S6931,1989,2018,27,Electrofishing_backpack,0,0.041045972,0.024294582,0.011295346,-0.186223513,0.000666128,63.96098,19.12139,20096480,191,2.629548,0.283616808,0.211711832,0.003253152,0.886504806,148.6154175,0.298630893,5.568360641,29.97635877,POINT (19.12139 63.96098),2040030110,-1.79E-06,0.000148157,,,Cold
S6945,1990,2018,29,Electrofishing_backpack,0.360718882,3.09E-05,0.026506037,0.010174124,-0.210302943,0.000756474,63.97872,18.7801,20095587,277,2.629548,0.058773891,0.170893484,-0.002184682,0.487651927,145.6049957,0.016181095,5.196110443,31.96849516,POINT (18.7801 63.97872),2040030110,-5.15E-07,0.208829636,0.060169477,0.529368106,Cold
S7038,1991,2005,8,Electrofishing_backpack,0.307692308,0.113606039,0.046829378,0.010072435,0.093421602,0.733909801,63.98353,19.28967,20095069,226,2.629548,0.020884196,1,-0.006807923,0.843085229,150.1838531,0.32331422,5.37434334,30.07445552,POINT (19.28967 63.98353),2040030110,-2.52E-06,0.265510389,-0.115351762,0.308179547,Cold
S8023,1993,2018,21,Electrofishing_backpack,-0.186758893,0.129391671,0.034296674,0.017289749,0.572886705,0.573781588,66.32216,21.37039,20048116,158,2.629548,-0.014200846,0.894787104,-0.020564505,0.093903264,98.07764435,0.136382744,4.651070171,79.47524823,POINT (21.37039 66.32216),2040030110,-5.30E-06,0.001233274,,,Cold
